Sector name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,34549.0893,0,0,0,0,10393296,5286051.5,16215228.9,16274224.670357,14752604.959607,13333677.452803,158478192.7811,244834323.251,314404464.45357,521565451.04593,634494814.028298,0,0,0,0,0,0,0,0,0,0
Action Relating to Debt,0,0,6640900.2,452437.88,8223605,9605504.8,12709894.5,13603762,13827695.5,10067952.53,10739204.23,14015549.6,18128511.6,19242910,18732375.7,34788769.6,0,0,0,0,0,0,0,0,0,0
Administrative Costs of Donors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182346237.28,0,0,0,0,0,0,0,0,0,0,0
"Agriculture, Forestry, Fishing",0,0,315104.66,0,29558.625,723952.52,5696846.565,4835448.976,14865172.894,17595216.903,17315361.1205,24614476.9383,33126478.279,50411222.7522,68240485.1762,33281263.1115346,0,0,0,0,0,0,0,0,0,0
Banking & Financial Services,0,0,0,0,0,535736.9,108990.76,442133.03,198997.08,263362.34,350114.5,515410.072,897839.717,3008098.0425,6283802.60676,3605032.0582,0,0,0,0,0,0,0,0,0,0
Business & Other Services,0,0,0,0,0,0,0,0,0,0,0,110950.77,135218628.514,159999176.528,180077526.83683,163108873.388794,0,0,0,0,0,0,0,0,0,0
Communications,0,0,0,0,0,0,0,0,0,0,0,0,615608.94,523577.504,7881228.188,1643843.332,0,0,0,0,0,0,0,0,0,0
Disaster Prevention & Preparedness,0,0,0,0,0,0,0,0,0,0,69086.1675,0,0,0,3954358.209,1634232.65,0,0,0,0,0,0,0,0,0,0
Education,0,0,0,0,0,0,21798150,21001318,30719066.9555,34779160.1465,44806846.2451,81984546.9052,111291972.056474,126420557.77308,176450988.255354,112011131.29051,0,0,0,0,0,0,0,0,0,0
Emergency Response,0,0,0,0,0,0,0,0,0,0,1954166.8,8721186.5,7163932.58544,73809355.6285,239769470.89545,255444445.53772,0,0,0,0,0,0,0,0,0,0
Energy,0,0,0,0,2051116.2,0,0,572020.63,20828190.43631,12774335.3288,10539404.585322,26019617.421,36571391.3295,43996616.7435,73540120.34826,24412938.3945,0,0,0,0,0,0,0,0,0,0
General Budget Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13505663,8556192,0,0,0,0,0,0,0,0,0,0
General Environment Protection,0,0,0,7668835,11232838,18278296.32,825796.865,19066764.99,1591976.6,4982069.568,17708641.714,95623133.63016,96026012.2155,121028494.37324,186801322.7308,93767938.2636,0,0,0,0,0,0,0,0,0,0
Government & Civil Society,0,0,0,0,10875740.9,2966507.52,11528253.36,6455142.345,10897275.2883,15827933.6928,12755539.2154,34138459.0239,72219250.66887,202243157.347845,359290992.101371,247678469.887526,0,0,0,0,0,0,0,0,0,0
Health,0,0,0,0,0,0,0,6853062.11,11402531.945,3954964.5312,4188360.6094,73243554.84,92518533.686,100423832.3199,127084156.777943,128772571.405296,0,0,0,0,0,0,0,0,0,0
"Industry, Mining, Construction",0,0,0,0,0,967227.74,1353146.352,532909.8,14862.8918,1884909.2809,3511738.9392,4672722.5818,7044756.227,10260781.5537937,20609976.879351,9609228.99484,0,0,0,0,0,0,0,0,0,0
Other Multisector,0,0,0,0,855835.25,0,0,481834.1463,1989970.8,1892067.2724,4272869.85,10392848.58,35175089.610548,74395329.4474086,87748787.1658193,58673023.8885,0,0,0,0,0,0,0,0,0,0
Other Social Infrastructure & Services,0,0,0,0,160469.113,206258.71,414596.273,4830303.56,82468.0667,311219.9334,916968.5835,4985191.3745,8834856.933,18024727.1231,47292976.84548,30043383.484355,0,0,0,0,0,0,0,0,0,0
Population Policies/Programmes & Reproductive Health,0,0,0,0,0,0,0,0,0,1316811.8,2580337.7,3097686.8,16795170.148,31167393.623,34099445.70915,24449645.26733,0,0,0,0,0,0,0,0,0,0
Reconstruction Relief & Rehabilitation,0,0,0,0,0,0,0,0,0,6145121.5,0,0,1076710,5197556.59,4796620.63,4063445.74718,0,0,0,0,0,0,0,0,0,0
Refugees in Donor Countries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44216613.979,0,0,0,0,0,0,0,0,0,0,0
Trade Policies & Regulations,0,0,0,0,0,0,0,0,0,0,238574.95,2286962.11,5504679.95,8867818,8969498.16074,5024649.049,0,0,0,0,0,0,0,0,0,0
Transport & Storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158691.55,128342.877,0,0,0,0,0,0,0,0,0,0
Water Supply & Sanitation,0,0,0,0,0,0,0,0,0,0,230136.61,280608.84,655495.06,4392965.7079,8640574.8616,6129093.05362,0,0,0,0,0,0,0,0,0,0
