Recipient name,Recipient code,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026,2026/2027,2028/2029
"Africa, regional",298,0,0,0,0,0,0,0,0,0,1300000,0,8795.6,13193.6,0,39099,0,0,0,0,0,0
"Asia, regional",798,0,0,0,0,639696,0,0,0,570000,3e+05,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BD,0,0,0,0,2768173.32,3022478.8,6097158.32,4108950.28,5004194.59,7327904.85,5989701.5,5115961,10392279.34,3821677.1,3628994.24,3646551.7,2112500,1460190,0,0,0
Congo (the Democratic Republic of the),CD,0,0,0,0,0,0,3047044.2,2903275.7,2373511.96,1343581.15,1342797.29,658762.6,962395.5,5318767.6,7378423,0,0,0,0,0,0
"Developing countries, unspecified",998,0,0,0,0,1444659.2,7085788.5,8338950.89,12778822.35,15010113.71,8269135.51,37182867.44,18287644.69,16031350,30502914,31670748,14088220,3007036,1822306,171720,0,0
Eritrea,ER,0,0,0,0,0,0,0,0,0,0,0,2333095.25,2385198.08,3120926.24,0,0,0,0,0,0,0
Ethiopia,ET,0,0,0,0,67500,22500,1706250,6393504,9220900.8,4265997.5,5596847.8,0,0,0,0,0,0,0,0,0,0
India,IN,5100019.8,10604475.2,12671846.74,21729870.05,22553902.8,22368670.72,27134575,17712694.44,8367258.9,3016191.75,-79329.6,0,0,86100,0,0,0,0,0,0,0
Kenya,KE,0,0,0,0,0,0,0,0,0,616529,4e+06,8232700,16010000,6490000,2100000,2617110,0,0,0,0,0
Malawi,MW,0,0,0,0,0,0,1e+05,641325,2121175,5925000,4139213,4292737,478419,0,0,0,0,0,0,0,0
Mozambique,MZ,0,0,0,0,0,0,2412843,328690.8,418287.6,4056071.9,894648.4,2155210.6,5207172.51,4119688.3,4704660,6062808,1517760,1879860,2048160,1343952,1588829.5
Myanmar,MM,0,0,0,0,3000,0,0,0,0,0,0,450000,630005.1,540009.2,1040165,649825.8,0,0,0,0,0
Nepal,NP,0,0,0,0,0,0,0,3220.7,0,600200,11579.3,0,0,0,0,0,0,0,0,0,0
Nigeria,NG,0,0,0,0,1903210.6,3764857.15,5330291.56,4285242.45,2953012.25,33796817.8,2934645.6,952233.2,4107348,7721435.3,9888158,6130001.5,1e+06,2894346,0,0,0
Pakistan,PK,0,0,0,0,13673.3,1336599.9,520525.7,2367004.7,2422383.8,7443298.1,11591854.9,12079441,10820297.65,8419263.3,0,0,0,0,0,0,0
Rwanda,RW,0,0,0,0,0,13750,45625,75000,60000,3930000,3890169.4,17500,0,1184719.25,2140329.5,3513058,3216188.5,0,0,0,0
Sierra Leone,SL,0,0,0,0,0,0,0,0,0,0,2136260,0,0,0,0,0,0,0,0,0,0
Somalia,SO,0,0,0,0,0,0,0,0,0,1292138.55,1657107.1,3172702.2,3128596.1,3515464.86,1079251,0,0,0,0,0,0
South Sudan,SS,0,0,0,0,0,0,0,4e+05,11784500,22149455.6,26488362.1,18677975.6,18480252.1,9025900.5,0,0,0,0,0,0,0
"South of Sahara, regional",289,0,0,0,0,0,0,0,0,0,8e+06,1.6e+07,0,0,0,0,0,0,0,0,0,0
Sudan (the),SD,0,0,0,0,0,0,0,0,0,0,1854864.4,4602656.4,2433559.61,4484412.32,19433.75,0,0,0,0,0,0
"Tanzania, United Republic of",TZ,0,0,0,0,0,0,130437.1,713972.9,1736551.7,4881732.9,7670522.2,5792498.1,8976774.6,809561.7,0,0,0,0,0,0,0
Uganda,UG,0,0,0,0,0,0,0,0,2954616.4,1751756.74,2408901.5,5655500.3,10918205.4,2182284.4,1744712,1411138,0,0,0,0,0
Venezuela (Bolivarian Republic of),VE,0,0,0,0,0,0,0,0,0,0,0,0,0,9e+06,0,0,0,0,0,0,0
Yemen,YE,0,0,0,0,0,4144375,5807595,5554200,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,ZM,0,0,0,0,531890,644317,1066007.8,1360488.02,3018370.32,4154172.76,1507663.4,178738.42,5222139.25,4168428.32,8233250.6,1402348,38142,0,0,0,0
Zimbabwe,ZW,0,0,0,119991.8,105220.6,191738.8,379241.4,442479.4,72799.4,4900818.8,9064180.9,5962574.3,5588086.25,4815667.46,79506.7,0,0,0,0,0,0
